onset	duration	sample	type	value
0	n/a	1	New Segment	boundary
0	0.0002	1	SyncStatus	Sync On
0.338	1.34	85.5	n/a	boundary
1.1098	0	278.45	n/a	QRS
1.46	0.0002	366	SyncStatus	Sync On
2.0498	0	513.45	n/a	QRS
2.9698	0	743.45	n/a	QRS
3.46	0.0002	866	SyncStatus	Sync On
3.8298	0	958.45	n/a	QRS
4.6898	0	1173.45	n/a	QRS
5.46	0.0002	1366	SyncStatus	Sync On
5.5398	0	1385.95	n/a	QRS
6.3698	0	1593.45	n/a	QRS
7.158	1.68	1790.5	n/a	boundary
7.7178	0	1930.45	n/a	QRS
7.928	0.0002	1983	SyncStatus	Sync On
8.5078	0	2127.95	n/a	QRS
9.2578	0	2315.45	n/a	QRS
9.558	1.68	2390.5	n/a	boundary
9.8378	0	2460.45	n/a	QRS
9.918	1.68	2480.5	n/a	boundary
10.29	5.364	2573.5	n/a	boundary
10.6438	0	2661.95	n/a	QRS
11.204	0.0002	2802	SyncStatus	Sync On
11.4938	0	2874.45	n/a	QRS
11.5038	0	2876.95	n/a	QRS
12.0554	0.0002	3014.85	Response	R128
12.0954	0.0002	3024.85	Stimulus	S  1
12.3538	0	3089.45	n/a	QRS
13.1444	0.0002	3287.1	Stimulus	S  5
13.1938	0	3299.45	n/a	QRS
13.204	0.0002	3302	SyncStatus	Sync On
14.0138	0	3504.45	n/a	QRS
14.1474	0.0002	3537.85	Stimulus	S  5
14.1554	0.0002	3539.85	Response	R128
14.8738	0	3719.45	n/a	QRS
15.1484	0.0002	3788.1	Stimulus	S  5
15.204	0.0002	3802	SyncStatus	Sync On
15.7038	0	3926.95	n/a	QRS
16.1494	0.0002	4038.35	Stimulus	S  5
16.2554	0.0002	4064.85	Response	R128
16.5338	0	4134.45	n/a	QRS
17.153	0.0002	4289.25	Stimulus	S  5
17.204	0.0002	4302	SyncStatus	Sync On
17.3538	0	4339.45	n/a	QRS
18.1454	0.0002	4537.35	Stimulus	S  5
18.1838	0	4546.95	n/a	QRS
18.3554	0.0002	4589.85	Response	R128
19.0838	0	4771.95	n/a	QRS
19.1546	0.0002	4789.65	Stimulus	S  5
19.204	0.0002	4802	SyncStatus	Sync On
19.9738	0	4994.45	n/a	QRS
20.1556	0.0002	5039.9	Stimulus	S  5
20.4554	0.0002	5114.85	Response	R128
20.8538	0	5214.45	n/a	QRS
21.1602	0.0002	5291.05	Stimulus	S  5
21.204	0.0002	5302	SyncStatus	Sync On
21.7338	0	5434.45	n/a	QRS
22.1602	0.0002	5541.05	Stimulus	S  5
22.5554	0.0002	5639.85	Response	R128
22.6238	0	5656.95	n/a	QRS
23.1602	0.0002	5791.05	Stimulus	S  5
23.204	0.0002	5802	SyncStatus	Sync On
23.5238	0	5881.95	n/a	QRS
24.1602	0.0002	6041.05	Stimulus	S  5
24.4338	0	6109.45	n/a	QRS
24.4338	0	6109.45	n/a	QRS
24.6554	0.0002	6164.85	Response	R128
25.16	0.0002	6291	Stimulus	S  5
25.204	0.0002	6302	SyncStatus	Sync On
25.3538	0	6339.45	n/a	QRS
26.1606	0.0002	6541.15	Stimulus	S  5
26.2438	0	6561.95	n/a	QRS
26.7554	0.0002	6689.85	Response	R128
27.1138	0	6779.45	n/a	QRS
27.16	0.0002	6791	Stimulus	S  5
27.204	0.0002	6802	SyncStatus	Sync On
27.9638	0	6991.95	n/a	QRS
28.1598	0.0002	7040.95	Stimulus	S  5
28.8138	0	7204.45	n/a	QRS
28.8554	0.0002	7214.85	Response	R128
29.1646	0.0002	7292.15	Stimulus	S  5
29.204	0.0002	7302	SyncStatus	Sync On
29.6738	0	7419.45	n/a	QRS
30.1646	0.0002	7542.15	Stimulus	S  5
30.5638	0	7641.95	n/a	QRS
30.9554	0.0002	7739.85	Response	R128
31.1646	0.0002	7792.15	Stimulus	S  5
31.204	0.0002	7802	SyncStatus	Sync On
31.4538	0	7864.45	n/a	QRS
32.1656	0.0002	8042.4	Stimulus	S  5
32.3638	0	8091.95	n/a	QRS
32.378	4.4	8095.5	n/a	boundary
33.0058	0	8252.45	n/a	QRS
33.0168	0.0002	8255.2	Stimulus	S  5
33.036	0.0002	8260	SyncStatus	Sync On
33.6874	0.0002	8422.85	Response	R128
33.8458	0	8462.45	n/a	QRS
34.0178	0.0002	8505.45	Stimulus	S  5
34.7058	0	8677.45	n/a	QRS
35.0168	0.0002	8755.2	Stimulus	S  5
35.036	0.0002	8760	SyncStatus	Sync On
35.5558	0	8889.95	n/a	QRS
35.7874	0.0002	8947.85	Response	R128
36.0188	0.0002	9005.7	Stimulus	S  5
36.4258	0	9107.45	n/a	QRS
37.0238	0.0002	9256.95	Stimulus	S  5
37.036	0.0002	9260	SyncStatus	Sync On
37.2658	0	9317.45	n/a	QRS
37.8874	0.0002	9472.85	Response	R128
38.0236	0.0002	9506.9	Stimulus	S  5
38.0958	0	9524.95	n/a	QRS
38.9258	0	9732.45	n/a	QRS
39.0236	0.0002	9756.9	Stimulus	S  5
39.036	0.0002	9760	SyncStatus	Sync On
39.7358	0	9934.95	n/a	QRS
39.9874	0.0002	9997.85	Response	R128
40.0236	0.0002	10006.9	Stimulus	S  5
40.5958	0	10149.95	n/a	QRS
41.0238	0.0002	10256.95	Stimulus	S  5
41.036	0.0002	10260	SyncStatus	Sync On
41.4758	0	10369.95	n/a	QRS
42.0258	0.0002	10507.45	Stimulus	S  5
42.0874	0.0002	10522.85	Response	R128
42.3558	0	10589.95	n/a	QRS
43.0268	0.0002	10757.7	Stimulus	S  5
43.036	0.0002	10760	SyncStatus	Sync On
43.2758	0	10819.95	n/a	QRS
44.0268	0.0002	11007.7	Stimulus	S  5
44.1874	0.0002	11047.85	Response	R128
44.1958	0	11049.95	n/a	QRS
45.0268	0.0002	11257.7	Stimulus	S  5
45.036	0.0002	11260	SyncStatus	Sync On
45.0958	0	11274.95	n/a	QRS
45.9958	0	11499.95	n/a	QRS
46.0278	0.0002	11507.95	Stimulus	S  5
46.2874	0.0002	11572.85	Response	R128
46.8558	0	11714.95	n/a	QRS
47.031	0.0002	11758.75	Stimulus	S  5
47.036	0.0002	11760	SyncStatus	Sync On
47.7058	0	11927.45	n/a	QRS
48.031	0.0002	12008.75	Stimulus	S  5
48.3874	0.0002	12097.85	Response	R128
48.5458	0	12137.45	n/a	QRS
49.031	0.0002	12258.75	Stimulus	S  5
49.036	0.0002	12260	SyncStatus	Sync On
49.4058	0	12352.45	n/a	QRS
50.032	0.0002	12509	Stimulus	S  5
50.2858	0	12572.45	n/a	QRS
50.4874	0.0002	12622.85	Response	R128
51.027	0.0002	12757.75	Stimulus	S  5
51.036	0.0002	12760	SyncStatus	Sync On
51.2558	0	12814.95	n/a	QRS
52.028	0.0002	13008	Stimulus	S  5
52.1758	0	13044.95	n/a	QRS
52.5874	0.0002	13147.85	Response	R128
53.036	0.0002	13260	SyncStatus	Sync On
53.0394	0.0002	13260.85	Stimulus	S  5
53.0458	0	13262.45	n/a	QRS
53.9258	0	13482.45	n/a	QRS
54.0394	0.0002	13510.85	Stimulus	S  5
54.6874	0.0002	13672.85	Response	R128
54.7858	0	13697.45	n/a	QRS
55.036	0.0002	13760	SyncStatus	Sync On
55.0392	0.0002	13760.8	Stimulus	S  5
55.6158	0	13904.95	n/a	QRS
56.0392	0.0002	14010.8	Stimulus	S  5
56.4558	0	14114.95	n/a	QRS
56.7874	0.0002	14197.85	Response	R128
57.036	0.0002	14260	SyncStatus	Sync On
57.0392	0.0002	14260.8	Stimulus	S  5
57.3258	0	14332.45	n/a	QRS
58.0392	0.0002	14510.8	Stimulus	S  5
58.3158	0	14579.95	n/a	QRS
58.8874	0.0002	14722.85	Response	R128
59.036	0.0002	14760	SyncStatus	Sync On
59.041	0.0002	14761.25	Stimulus	S  5
59.3258	0	14832.45	n/a	QRS
60.042	0.0002	15011.5	Stimulus	S  5
60.3258	0	15082.45	n/a	QRS
60.9874	0.0002	15247.85	Response	R128
61.036	0.0002	15260	SyncStatus	Sync On
61.039	0.0002	15260.75	Stimulus	S  5
61.2658	0	15317.45	n/a	QRS
62.039	0.0002	15510.75	Stimulus	S  5
62.1858	0	15547.45	n/a	QRS
63.036	0.0002	15760	SyncStatus	Sync On
63.047	0.0002	15762.75	Stimulus	S  5
63.0858	0	15772.45	n/a	QRS
63.0874	0.0002	15772.85	Response	R128
63.9358	0	15984.95	n/a	QRS
64.047	0.0002	16012.75	Stimulus	S  5
64.7758	0	16194.95	n/a	QRS
65.036	0.0002	16260	SyncStatus	Sync On
65.0492	0.0002	16263.3	Stimulus	S  5
65.1874	0.0002	16297.85	Response	R128
65.5958	0	16399.95	n/a	QRS
66.0492	0.0002	16513.3	Stimulus	S  5
66.4258	0	16607.45	n/a	QRS
67.036	0.0002	16760	SyncStatus	Sync On
67.0512	0.0002	16763.8	Stimulus	S  5
67.2874	0.0002	16822.85	Response	R128
67.2958	0	16824.95	n/a	QRS
68.0552	0.0002	17014.8	Stimulus	S  5
68.2658	0	17067.45	n/a	QRS
69.036	0.0002	17260	SyncStatus	Sync On
69.055	0.0002	17264.75	Stimulus	S  5
69.2658	0	17317.45	n/a	QRS
69.3874	0.0002	17347.85	Response	R128
70.055	0.0002	17514.75	Stimulus	S  5
70.2858	0	17572.45	n/a	QRS
71.036	0.0002	17760	SyncStatus	Sync On
71.0552	0.0002	17764.8	Stimulus	S  5
71.2458	0	17812.45	n/a	QRS
71.4874	0.0002	17872.85	Response	R128
72.055	0.0002	18014.75	Stimulus	S  5
72.1658	0	18042.45	n/a	QRS
73.036	0.0002	18260	SyncStatus	Sync On
73.058	0.0002	18265.5	Stimulus	S  5
73.0758	0	18269.95	n/a	QRS
73.5874	0.0002	18397.85	Response	R128
73.9458	0	18487.45	n/a	QRS
74.0582	0.0002	18515.55	Stimulus	S  5
74.8058	0	18702.45	n/a	QRS
75.036	0.0002	18760	SyncStatus	Sync On
75.0582	0.0002	18765.55	Stimulus	S  5
75.6358	0	18909.95	n/a	QRS
75.6874	0.0002	18922.85	Response	R128
76.0582	0.0002	19015.55	Stimulus	S  5
76.4558	0	19114.95	n/a	QRS
77.036	0.0002	19260	SyncStatus	Sync On
77.0582	0.0002	19265.55	Stimulus	S  5
77.2558	0	19314.95	n/a	QRS
77.7874	0.0002	19447.85	Response	R128
78.0582	0.0002	19515.55	Stimulus	S  5
78.1158	0	19529.95	n/a	QRS
79.036	0.0002	19760	SyncStatus	Sync On
79.0622	0.0002	19766.55	Stimulus	S  5
79.1258	0	19782.45	n/a	QRS
79.8874	0.0002	19972.85	Response	R128
80.0622	0.0002	20016.55	Stimulus	S  5
80.1558	0	20039.95	n/a	QRS
81.036	0.0002	20260	SyncStatus	Sync On
81.0654	0.0002	20267.35	Stimulus	S  5
81.1558	0	20289.95	n/a	QRS
81.9874	0.0002	20497.85	Response	R128
82.0582	0.0002	20515.55	Stimulus	S  5
82.1058	0	20527.45	n/a	QRS
83.036	0.0002	20760	SyncStatus	Sync On
83.0458	0	20762.45	n/a	QRS
83.0672	0.0002	20767.8	Stimulus	S  5
83.9858	0	20997.45	n/a	QRS
84.071	0.0002	21018.75	Stimulus	S  5
84.0874	0.0002	21022.85	Response	R128
84.8858	0	21222.45	n/a	QRS
85.036	0.0002	21260	SyncStatus	Sync On
85.0708	0.0002	21268.7	Stimulus	S  5
85.7358	0	21434.95	n/a	QRS
86.0708	0.0002	21518.7	Stimulus	S  5
86.1874	0.0002	21547.85	Response	R128
86.5658	0	21642.45	n/a	QRS
87.036	0.0002	21760	SyncStatus	Sync On
87.0714	0.0002	21768.85	Stimulus	S  5
87.3658	0	21842.45	n/a	QRS
88.0714	0.0002	22018.85	Stimulus	S  5
88.1958	0	22049.95	n/a	QRS
88.2874	0.0002	22072.85	Response	R128
89.036	0.0002	22260	SyncStatus	Sync On
89.0714	0.0002	22268.85	Stimulus	S  5
89.0758	0	22269.95	n/a	QRS
90.0558	0	22514.95	n/a	QRS
90.0732	0.0002	22519.3	Stimulus	S  5
90.3874	0.0002	22597.85	Response	R128
91.036	0.0002	22760	SyncStatus	Sync On
91.0658	0	22767.45	n/a	QRS
91.0744	0.0002	22769.6	Stimulus	S  5
92.0458	0	23012.45	n/a	QRS
92.0704	0.0002	23018.6	Stimulus	S  5
92.4874	0.0002	23122.85	Response	R128
92.9958	0	23249.95	n/a	QRS
93.036	0.0002	23260	SyncStatus	Sync On
93.0776	0.0002	23270.4	Stimulus	S  5
93.9258	0	23482.45	n/a	QRS
94.0784	0.0002	23520.6	Stimulus	S  5
94.5874	0.0002	23647.85	Response	R128
94.8358	0	23709.95	n/a	QRS
95.036	0.0002	23760	SyncStatus	Sync On
95.0784	0.0002	23770.6	Stimulus	S  5
95.7058	0	23927.45	n/a	QRS
96.0784	0.0002	24020.6	Stimulus	S  5
96.5558	0	24139.95	n/a	QRS
96.6874	0.0002	24172.85	Response	R128
97.036	0.0002	24260	SyncStatus	Sync On
97.0816	0.0002	24271.4	Stimulus	S  5
97.3758	0	24344.95	n/a	QRS
98.0866	0.0002	24522.65	Stimulus	S  5
98.2158	0	24554.95	n/a	QRS
98.7874	0.0002	24697.85	Response	R128
99.036	0.0002	24760	SyncStatus	Sync On
99.0866	0.0002	24772.65	Stimulus	S  5
99.1058	0	24777.45	n/a	QRS
100.0158	0	25004.95	n/a	QRS
100.0866	0.0002	25022.65	Stimulus	S  5
100.8874	0.0002	25222.85	Response	R128
100.9258	0	25232.45	n/a	QRS
101.036	0.0002	25260	SyncStatus	Sync On
101.0866	0.0002	25272.65	Stimulus	S  5
101.7858	0	25447.45	n/a	QRS
102.0864	0.0002	25522.6	Stimulus	S  5
102.6358	0	25659.95	n/a	QRS
102.9874	0.0002	25747.85	Response	R128
103.036	0.0002	25760	SyncStatus	Sync On
103.088	0.0002	25773	Stimulus	S  5
103.4658	0	25867.45	n/a	QRS
104.0886	0.0002	26023.15	Stimulus	S  5
104.2958	0	26074.95	n/a	QRS
105.036	0.0002	26260	SyncStatus	Sync On
105.0874	0.0002	26272.85	Response	R128
105.0896	0.0002	26273.4	Stimulus	S  5
105.1258	0	26282.45	n/a	QRS
105.9858	0	26497.45	n/a	QRS
106.0886	0.0002	26523.15	Stimulus	S  5
106.8458	0	26712.45	n/a	QRS
107.036	0.0002	26760	SyncStatus	Sync On
107.0916	0.0002	26773.9	Stimulus	S  5
107.1874	0.0002	26797.85	Response	R128
107.7258	0	26932.45	n/a	QRS
108.0896	0.0002	27023.4	Stimulus	S  5
108.6258	0	27157.45	n/a	QRS
109.036	0.0002	27260	SyncStatus	Sync On
109.0926	0.0002	27274.15	Stimulus	S  5
109.2874	0.0002	27322.85	Response	R128
109.5158	0	27379.95	n/a	QRS
110.0926	0.0002	27524.15	Stimulus	S  5
110.3858	0	27597.45	n/a	QRS
111.036	0.0002	27760	SyncStatus	Sync On
111.0946	0.0002	27774.65	Stimulus	S  5
111.2258	0	27807.45	n/a	QRS
111.3874	0.0002	27847.85	Response	R128
112.0658	0	28017.45	n/a	QRS
112.0886	0.0002	28023.15	Stimulus	S  5
112.9358	0	28234.95	n/a	QRS
113.036	0.0002	28260	SyncStatus	Sync On
113.0974	0.0002	28275.35	Stimulus	S  5
113.4874	0.0002	28372.85	Response	R128
113.8158	0	28454.95	n/a	QRS
114.1024	0.0002	28526.6	Stimulus	S  5
114.6858	0	28672.45	n/a	QRS
115.036	0.0002	28760	SyncStatus	Sync On
115.1024	0.0002	28776.6	Stimulus	S  5
115.5458	0	28887.45	n/a	QRS
115.5874	0.0002	28897.85	Response	R128
116.1022	0.0002	29026.55	Stimulus	S  5
116.4258	0	29107.45	n/a	QRS
117.036	0.0002	29260	SyncStatus	Sync On
117.1022	0.0002	29276.55	Stimulus	S  5
117.3558	0	29339.95	n/a	QRS
117.6874	0.0002	29422.85	Response	R128
118.1028	0.0002	29526.7	Stimulus	S  5
118.3258	0	29582.45	n/a	QRS
119.036	0.0002	29760	SyncStatus	Sync On
119.1028	0.0002	29776.7	Stimulus	S  5
119.2558	0	29814.95	n/a	QRS
119.7874	0.0002	29947.85	Response	R128
120.103	0.0002	30026.75	Stimulus	S  5
120.1658	0	30042.45	n/a	QRS
120.9858	0	30247.45	n/a	QRS
121.036	0.0002	30260	SyncStatus	Sync On
121.1046	0.0002	30277.15	Stimulus	S  5
121.8158	0	30454.95	n/a	QRS
121.8874	0.0002	30472.85	Response	R128
122.102	0.0002	30526.5	Stimulus	S  5
122.6558	0	30664.95	n/a	QRS
123.036	0.0002	30760	SyncStatus	Sync On
123.1082	0.0002	30778.05	Stimulus	S  5
123.5458	0	30887.45	n/a	QRS
123.9874	0.0002	30997.85	Response	R128
124.1088	0.0002	31028.2	Stimulus	S  5
124.4858	0	31122.45	n/a	QRS
125.036	0.0002	31260	SyncStatus	Sync On
125.1096	0.0002	31278.4	Stimulus	S  5
125.4658	0	31367.45	n/a	QRS
126.0874	0.0002	31522.85	Response	R128
126.1088	0.0002	31528.2	Stimulus	S  5
126.5358	0	31634.95	n/a	QRS
127.036	0.0002	31760	SyncStatus	Sync On
127.1118	0.0002	31778.95	Stimulus	S  5
127.5558	0	31889.95	n/a	QRS
128.1108	0.0002	32028.7	Stimulus	S  5
128.1874	0.0002	32047.85	Response	R128
128.5458	0	32137.45	n/a	QRS
129.036	0.0002	32260	SyncStatus	Sync On
129.1118	0.0002	32278.95	Stimulus	S  5
129.4658	0	32367.45	n/a	QRS
130.1118	0.0002	32528.95	Stimulus	S  5
130.2874	0.0002	32572.85	Response	R128
130.3458	0	32587.45	n/a	QRS
131.036	0.0002	32760	SyncStatus	Sync On
131.118	0.0002	32780.5	Stimulus	S  5
131.2458	0	32812.45	n/a	QRS
132.118	0.0002	33030.5	Stimulus	S  5
132.1558	0	33039.95	n/a	QRS
132.3874	0.0002	33097.85	Response	R128
133.036	0.0002	33260	SyncStatus	Sync On
133.0658	0	33267.45	n/a	QRS
133.1188	0.0002	33280.7	Stimulus	S  5
133.9558	0	33489.95	n/a	QRS
134.1188	0.0002	33530.7	Stimulus	S  5
134.4874	0.0002	33622.85	Response	R128
134.8158	0	33704.95	n/a	QRS
135.036	0.0002	33760	SyncStatus	Sync On
135.1188	0.0002	33780.7	Stimulus	S  5
135.6558	0	33914.95	n/a	QRS
136.1188	0.0002	34030.7	Stimulus	S  5
136.5258	0	34132.45	n/a	QRS
136.5874	0.0002	34147.85	Response	R128
137.036	0.0002	34260	SyncStatus	Sync On
137.1178	0.0002	34280.45	Stimulus	S  5
137.4158	0	34354.95	n/a	QRS
138.1208	0.0002	34531.2	Stimulus	S  5
138.3858	0	34597.45	n/a	QRS
138.6874	0.0002	34672.85	Response	R128
139.036	0.0002	34760	SyncStatus	Sync On
139.122	0.0002	34781.5	Stimulus	S  5
139.2858	0	34822.45	n/a	QRS
